code;short name;full name;country;url
1065;CFARYM-T;Makedonski Železnici Transport AD Skopje;MK;http://mztransportad.com.mk/
1071;Renfe;Renfe Operadora;ES;http://www.renfe.com/
1073;HELLENIC TRAIN SA;HELLENIC TRAIN - Railway SA;GR;https://www.hellenictrain.gr/
1074;ASJUA;Affärsverket Statens Järnväger;;
1076;Vy;Vygruppen AS;NO;https://www.vy.no/
1079;SŽ, d.o.o.;Slovenske železnice, d.o.o.;SI;http://www.slo-zeleznice.si/en/sz-group/
1080;DB AG;Deutsche Bahn AG;DE;https://www.deutschebahn.com/
1084;NS holding;N.V. Nederlandse Spoorwegen;NL;http://www.ns.nl/
1085;SBB AG;Schweizerische Bundesbahnen;CH;https://www.sbb.ch/en/home.html
1086;DSB holding;Danske Statsbaner-Holding;DK;http://www.dsb.dk/
1088;SNCB/NMBS;Société nationale des chemins de fer Belges / Nationale Maatschappij der Belgische Spoorwegen;BE;http://www.belgianrail.be/
1094;CP;CP - Comboios de Portugal, E.P.E.;PT;http://www.cp.pt/
1120;JSC 'FPC';Joint Stock Company 'FEDERAL PASSENGER COMPANY';RU;http://pass.rzd.ru/
1124;LTG Link;UAB LTG Link;LT;litrail.lt
1143;GYSEV Passenger;Győr-Sopron-Ebenfurti Vasút Zrt. Személyszállítás;HU;https://www2.gysev.hu/
1151;PR;Przewozy Regionalne Spółka z o.o.;PL;http://www.przewozyregionalne.pl/
1152;BDZ PASSENGER;BULGARIAN STATE RAILWAYS PASSENGER;BG;http://bdz.bg/
1153;CFR Călători;Societatea Naţională de Transport Feroviar de Călători;RO;http://www.cfrcalatori.ro/
1154;ČD;České dráhy, a.s.;CZ;http://www.cd.cz/
1155;MÁV-Start;MÁV-Start Vasúti Személyszállító Zrt.;HU;http://www.mav-start.hu/
1156;ZSSK;Železničná spoločnosť Slovensko, a.s.;SK;http://www.slovakrail.sk/
1170;ATOC Ltd;Association of Train Operating Companies Limited;GB;http://www.atoc.org/
1171;RENFE VIAJEROS;RENFE VIAJEROS, S.A;ES;http://www.renfe.com/
1172;SV;Srbija Voz a.d.;RS;http://www.srbvoz.rs/
1174;SJ;SJ AB;SE;http://www.sj.se/
1176;Entur;Entur AS;NO;https://om.entur.no/
1178;HŽ Putnički prijevoz d.o.o.;HŽ Putnički prijevoz d.o.o. za prijevoz putnika;HR;http://www.hzpp.hr/
1179;SŽ - Potniški promet, d.o.o.;Slovenske železnice - Potniški promet d.o.o.;SI;http://slo-zeleznice.si/
1180;DB Vertrieb GmbH;DB Vertrieb GmbH;DE;http://www.bahn.de/
1181;ÖBB PV AG;ÖBB Personenverkehr AG;AT;http://personenverkehr.oebb.at/
1182;CFL Voyageurs;Société Nationale des Chemins de Fer Luxembourgeois.;LU;https://www.cfl.lu/
1183;TI;TRENITALIA;IT;
1184;NS International;NS International BV;NL;http://www.ns.nl/
1185;SBB-Passengers;Swiss Federal Railways-Passenger subsidiary;CH;http://www.sbb.ch/
1186;DSB-Passenger;Danske Statsbaner-Passenger subsidiary;DK;http://www.dsb.dk/
1187;SNCF Voyages;SNCF Voyages;FR;http://www.voyages-sncf.com/
1224;LTG Infra;AB LTG Infra;LT;www.ltginfra.lt.
1242;LTC Sp z.o. o;Logistics & transport Company Sp. Z.o. o;PL;
1251;PKP Intercity;PKP Intercity S.A.;PL;http://intercity.pl/
1255;PKP CI SI;PKP CARGO INTERNATIONAL SI d.o.o.;SI;www.pkpcargointernational.com
1279;SŽ - Potniški promet;Slovenske železnice / Potniški promet d.o.o.;SI;https://www.slo-zeleznice.si/en/
1280;DB B I;DB Bahn Italia Srl;IT;http://www.megliointreno.it/
1281;ÖBB;ÖBB- Personenverkehr AG;AT;www.oebb.at
1284;HSA;High Speed Alliance;;
1285;SBB-EPA;Schweizerische Bundesbahnen SBB Division Voyageur;CH;http://www.sbb.ch/
1286;DSB-EPA;DSB - Passenger - Reservations issued via EPA;DK;
1351;SKMT;PKP SKM w Trójmieście Spółka z o.o.;PL;http://www.skm.pkp.pl/
1355;MAV START Zrt;MAV START Railway Passenger Transport Co.;HU;
1385;SBB2;Schweizerische Bundesbahnen Personenverkehr;CH;https://www.sbb.ch/
1435;railML;railML.org e.V.;DE;
1484;NS Reizigers;NS Reizigers BV;NL;http://www.ns.nl/
1923;Korfez Ulastirma;Korfez Ulastirma A.S.;TR;https://www.korfezulastirma.com.tr/
1971;SKPL;SKPL Cargo Sp. z o.o.;PL;
1980;OVF;Omnibusverkehr Franken GmbH;;
